1 src/images/dev_I_01.png 2 0 0 1 0 0 blanc
1 src/images/dev_I_02.png 0 3 0 0 0 0 blanc
1 src/images/dev_I_03.png 0 2 0 2 0 0 blanc
1 src/images/dev_I_04.png 0 1 0 1 3 0 blanc
1 src/images/dev_I_05.png 0 2 2 1 0 0 blanc
1 src/images/dev_I_06.png 1 1 1 1 0 0 blanc
1 src/images/dev_I_07.png 1 1 2 1 0 0 blanc
1 src/images/dev_I_08.png 0 0 4 0 0 1 blanc
1 src/images/dev_I_09.png 0 0 0 2 1 0 bleu
1 src/images/dev_I_10.png 0 0 0 3 0 0 bleu
1 src/images/dev_I_11.png 0 0 2 2 0 0 bleu
1 src/images/dev_I_12.png 1 1 3 0 0 0 bleu
1 src/images/dev_I_13.png 2 0 2 0 1 0 bleu
1 src/images/dev_I_14.png 1 0 1 1 1 0 bleu
1 src/images/dev_I_15.png 2 0 1 1 1 0 bleu
1 src/images/dev_I_16.png 4 0 0 0 0 1 bleu
1 src/images/dev_I_17.png 0 1 0 0 2 0 vert
1 src/images/dev_I_18.png 3 0 0 0 0 0 vert
1 src/images/dev_I_19.png 2 2 0 0 0 0 vert
1 src/images/dev_I_20.png 0 3 1 0 1 0 vert
1 src/images/dev_I_21.png 2 1 0 2 0 0 vert
1 src/images/dev_I_22.png 1 1 0 1 1 0 vert
1 src/images/dev_I_23.png 1 1 0 2 1 0 vert
1 src/images/dev_I_24.png 0 0 0 4 0 1 vert
1 src/images/dev_I_25.png 0 2 1 0 0 0 rouge
1 src/images/dev_I_26.png 0 0 0 0 3 0 rouge
1 src/images/dev_I_27.png 2 0 0 0 2 0 rouge
1 src/images/dev_I_28.png 1 0 0 3 1 0 rouge
1 src/images/dev_I_29.png 0 0 1 2 2 0 rouge
1 src/images/dev_I_30.png 0 1 1 1 1 0 rouge
1 src/images/dev_I_31.png 0 1 1 1 2 0 rouge
1 src/images/dev_I_32.png 0 0 0 0 4 1 rouge
1 src/images/dev_I_33.png 1 0 2 0 0 0 noir
1 src/images/dev_I_34.png 0 0 3 0 0 0 noir
